unix,open,high,low,close
1641712560,41889.9,41900.03,41889.9,41900.03
1641712500,41907.48,41924.22,41882.18,41882.18
1641712440,41908.33,41908.33,41903.21,41903.21
1641712380,41876.75,41909.78,41876.75,41906.14
1641712320,41880.64,41889.26,41880.64,41889.26
1641712260,41846.13,41846.13,41846.13,41846.13
1641712200,41853.56,41853.56,41853.4,41853.4
1641712140,41829.55,41859.05,41829.55,41859.05
1641712080,41886.05,41892.21,41854.92,41854.92
1641712020,41902.54,41902.54,41902.54,41902.54
1641711960,41907.22,41907.22,41907.22,41907.22
1641711900,41865.38,41865.38,41865.37,41865.37
1641711840,41882.26,41882.26,41882.26,41882.26
1641711780,41882.26,41882.26,41882.26,41882.26
1641711720,41871.71,41893.37,41861.91,41873.08
1641711660,41898.56,41898.56,41877.06,41888.48
1641711600,41903.07,41903.07,41903.07,41903.07
1641711540,41881.18,41891.6,41869.39,41891.6
1641711480,41887.62,41887.62,41884.41,41884.41
1641711420,41880.11,41883.13,41880.11,41883.13
1641711360,41854.41,41873.32,41854.41,41873.32
1641711300,41874.18,41884.15,41874.18,41884.15
1641711240,41864.94,41874.18,41848.61,41874.18
1641711180,41878.26,41898.8,41878.26,41895.43
1641711120,41920.84,41920.84,41862,41878.26
1641711060,41917.64,41917.64,41917.64,41917.64
1641711000,41909.88,41914.04,41904.7,41914.04
1641710940,41937.83,41937.85,41894.88,41907.7
1641710880,41967.68,41967.68,41963.91,41963.91
1641710820,41916.92,41983.25,41891.06,41950.91
1641710760,41899.09,41918.87,41899.09,41918.87
1641710700,41906.45,41918.87,41906.45,41909.27
1641710640,41896.55,41924.61,41896.55,41917.99
1641710580,41928.2,41928.2,41919.48,41919.48
1641710520,41902.63,41922.72,41902.62,41922.72
1641710460,41911.94,41928.35,41905.19,41918.03
1641710400,41934.17,41945.07,41917.04,41917.04
1641710340,41914.88,41928.09,41823.4,41928.01
1641710280,41908.51,41911.37,41908.51,41911.37
1641710220,41901.7,41923.36,41901.7,41923.36
1641710160,41865.84,41878.55,41865.84,41878.55
1641710100,41833.74,41865.17,41833.74,41865.17
1641710040,41808.1,41848.31,41808.1,41848.31
1641709980,41812.43,41831.9,41812.43,41831.9
1641709920,41783.99,41783.99,41781.01,41781.01
